%
% Cold & Warm Episodes by Season(ERSSTv5)
% Oceanic Niño Index (ONI):
% Historical El Niño / La Niña episodes (1950–Present)
% https://www.cpc.ncep.noaa.gov/products/analysis_monitoring/enso/oni/v6/
% Year  DJF      JFM     FMA     MAM    AMJ     MJJ     JJA     JAS     ASO      SON     OND     NDJ
%
2000	-1.5	-1.3	-1.0	-0.8	-0.7	-0.6	-0.5	-0.4	-0.4	-0.5	-0.8	-0.8
2001	-0.8	-0.5	-0.4	-0.3	-0.2	-0.1	0.0	-0.1	-0.1	-0.3	-0.3	-0.3
2002	-0.1	0.1	0.1	0.2	0.3	0.5	0.6	0.6	0.8	1.0	1.2	1.1
2003	0.9	0.6	0.4	0.0	-0.2	-0.1	0.1	0.1	0.2	0.2	0.3	0.3
2004	0.3	0.3	0.2	0.1	0.1	0.2	0.4	0.5	0.6	0.6	0.6	0.7
2005	0.6	0.6	0.4	0.4	0.3	0.1	0.0	-0.1	-0.1	-0.3	-0.6	-0.8
2006	-0.9	-0.8	-0.6	-0.4	-0.2	0.0	0.1	0.3	0.5	0.7	0.9	0.9
2007	0.6	0.2	-0.1	-0.3	-0.3	-0.4	-0.5	-0.8	-1.0	-1.4	-1.6	-1.7
2008	-1.8	-1.6	-1.4	-1.0	-0.8	-0.6	-0.3	-0.2	-0.2	-0.4	-0.6	-0.8
2009	-0.9	-0.8	-0.6	-0.3	0.0	0.3	0.5	0.6	0.7	0.9	1.3	1.5
2010	1.5	1.2	0.9	0.4	-0.2	-0.7	-1.0	-1.2	-1.4	-1.5	-1.6	-1.5
2011	-1.3	-1.1	-0.8	-0.7	-0.5	-0.3	-0.4	-0.5	-0.8	-0.9	-1.0	-0.9
2012	-0.7	-0.6	-0.4	-0.3	-0.2	0.0	0.3	0.4	0.4	0.3	0.1	0.0
2013	-0.2	-0.3	-0.2	-0.2	-0.3	-0.4	-0.4	-0.3	-0.3	-0.1	-0.1	-0.1
2014	-0.2	-0.2	0.0	0.3	0.4	0.2	0.1	0.1	0.2	0.5	0.7	0.8
2015	0.7	0.7	0.7	0.9	1.0	1.2	1.4	1.7	2.0	2.3	2.5	2.6
2016	2.5	2.2	1.7	1.1	0.6	0.1	-0.2	-0.3	-0.4	-0.5	-0.5	-0.4
2017	-0.1	0.1	0.3	0.3	0.4	0.3	0.1	-0.1	-0.2	-0.4	-0.6	-0.8
2018	-0.7	-0.7	-0.5	-0.3	-0.1	0.1	0.2	0.3	0.5	0.8	1.0	1.1
2019	1.0	0.9	0.9	0.8	0.7	0.6	0.4	0.2	0.3	0.5	0.7	0.8
2020	0.7	0.7	0.6	0.3	0.0	-0.2	-0.3	-0.4	-0.8	-1.0	-1.1	-1.1
2021	-1.0	-0.9	-0.7	-0.6	-0.4	-0.3	-0.3	-0.5	-0.6	-0.8	-0.9	-0.8
2022	-0.8	-0.7	-0.8	-0.9	-0.8	-0.7	-0.7	-0.8	-0.9	-0.9	-0.8	-0.7
2023	-0.5	-0.3	-0.1	0.2	0.5	0.7	1.0	1.3	1.5	1.7	1.9	2.0
2024	1.8	1.5	1.2	0.8	0.4	0.2	0.1	0.0	-0.1	-0.2	-0.3	-0.4
2025	-0.5	-0.2	-0.1	0.0	0.0	0.0	-0.1	-0.3	-0.4	-0.6	-0.6	-0.6
2026	-0.4	-0.2	0.1	0.5	0.9	1.4	1.8     0.0     0.0     0.0     0.0     0.0
